"","DatasetID","Latitude","Longitude","yr250 ","yr750 ","yr1250 ","yr1750 ","yr2250 ","yr2750 ","yr3250 ","yr3750 ","yr4250 ","yr4750 ","yr5250 ","yr5750 ","yr6250 ","yr6750 ","yr7250 ","yr7750 ","yr8250 ","yr8750 ","yr9250 ","yr9750 ","yr10250 ","yr10750 ","yr11250 ","yr11750 ","yr12250 ","yr12750 ","yr13250 ","yr13750 ","yr14250 ","yr14750 "
"708",10429,46.24525,-89.29409,0,0.179533213644524,2.11132437619962,1.0351966873706,0.484018264840183,0.641025641025641,2.69749518304432,1.0989010989011,0,0,1.36986301369863,0,0.185185185185185,0.36231884057971,4.69565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"709",10430,46.23435,-89.28155,1.04505698448154,0.633577644926313,0.355349151669296,0.0772797527047913,0,0.0775193798449612,0,0.166997177410718,0.189358254517277,0.0738552437223043,0.262237762237762,0,0,0.0800640512409928,0,0,0.217343077670065,0.131463628396144,1.7950380742546,3.49375979863552,5.59574832321157,0,0,0,0,0,0,0,0,0
"710",10431,46.140435,-89.2553,1.01120413347405,0.184219737302655,0.516546713041083,0.682011935208866,0.657894736842105,1.13150774264777,0.676167831336535,0.503223567750241,1.02774922918808,0.30188679245283,0.326293746944815,0.278551532033426,0.126502213788741,0.923239250857293,0.364298724954463,0.435161009573542,0,0.327653997378768,3.36487907465825,1.69712793733681,4.42900960822646,19.4078947368421,17.4847029207505,17.3188434163095,0,0,0,0,0,0
"711",5803,43,-78,0.547548825386436,0.570958273843217,0,0.583657587548638,0,0,0.212765957446809,0,0,0,0,0,0,0,0,0,0,0,1.87747035573123,2.92887029288703,0,9.92063492063492,0,4.27350427350427,8.6226957355181,9.05381796178001,6.9101678183613,0,0,0
"712",10433,42.56705,-72.5108,1.16196529589048,1.0156265127293,0.610843204450094,0.707534608523474,0.331228509622405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"713",10434,42.68839,-72.337185,0.501874878941856,0.299468325590438,0.340095783016979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"714",10435,42.524435,-71.60848,1.0542253237311,1.43573965196729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"715",10437,42.65485,-72.53319,1.33323496782125,1.44890169413445,0,0,1.15889494206584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"716",10438,42.600775,-72.22854,0.66014315747659,0.519883666217586,0.19132038251852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"717",10439,57.7191666666667,-75.8134722222222,21.4369104324274,13.1336405529954,32.2128851540616,0,40.9937888198758,16.4021164021164,19.2660550458716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"718",10440,57.7191666666667,-75.8134722222222,18.4683269549323,18.422002317233,48.6322188449848,36.4829396325459,25.1402538902539,57.3219162788212,46.7547550094355,20.5529010517867,8.25027482422776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
